Date(UTC),Symbol,Side,Price,Quantity,Amount,Fee,Fee Coin,Realized Profit,Quote Asset
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,3.00000000,13.9740000000000000,0.00698700,USDT,-0.24300000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,5.00000000,23.2900000000000000,0.01164500,USDT,-0.40500000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,5.00000000,23.2900000000000000,0.01164500,USDT,-0.40500000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,5.00000000,23.2900000000000000,0.01164500,USDT,-0.40500000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,5.00000000,23.2900000000000000,0.01164500,USDT,-0.40500000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,6.00000000,27.9480000000000000,0.01397400,USDT,-0.48600000,USDT
2026-01-15 01:21:53,ICPUSDT,BUY,4.739,28.00000000,132.6920000000000000,0.06634600,USDT,0.00000000,USDT
2026-01-15 01:21:53,ICPUSDT,BUY,4.739,3.00000000,14.2170000000000000,0.00710850,USDT,0.00000000,USDT
2026-01-15 01:21:53,ICPUSDT,BUY,4.739,8.00000000,37.9120000000000000,0.01895600,USDT,0.00000000,USDT
2026-01-15 01:21:53,ICPUSDT,BUY,4.739,5.00000000,23.6950000000000000,0.01184750,USDT,0.00000000,USDT
2026-01-15 01:14:32,ICPUSDT,SELL,4.74,33.00000000,156.4200000000000000,0.07821000,USDT,4.19100000,USDT
2026-01-15 01:14:32,ICPUSDT,SELL,4.74,2.00000000,9.4800000000000000,0.00474000,USDT,0.25400000,USDT
2026-01-15 01:14:32,ICPUSDT,SELL,4.74,2.00000000,9.4800000000000000,0.00474000,USDT,0.25400000,USDT
2026-01-15 01:14:32,ICPUSDT,SELL,4.74,3.00000000,14.2200000000000000,0.00711000,USDT,0.38100000,USDT
2026-01-15 00:47:05,ICPUSDT,BUY,4.613,40.00000000,184.5200000000000000,0.09226000,USDT,0.00000000,USDT
